,COD_TERR,CL_GAL,E_GAL_VEND,E_OVOS_VEND,E_RECEBE_ORI,E_ORI_GOV,E_ORI_PROPRIA,E_ORI_COOP,E_ORI_EMP_INT,E_ORI_EMP_PRIV,E_ORI_ONG,E_ORI_SIST_S,E_ORI_OUTRA,E_GAL_ENG,E_GAL_GALOS,E_GAL_POED,E_GAL_MATR,E_ASSOC_COOP,E_FINANC,E_FINANC_COOP,E_FINANC_INTEG,E_DAP,E_N_AGRIFAM,E_COOPERATIVA,E_SA_LDTA,E_CNPJ
COD_TERR,1.0,0.029641171461379404,-0.05995372851498654,-0.12122399647041725,-0.04323372808141382,-0.019419423419689323,-0.0662025540012911,-0.06102080880600412,-0.030011184105172964,-0.05691856624809988,-0.07987468648474635,-0.11158475900780233,0.07645389972528388,-0.13101208162382327,-0.11957876302448443,-0.1002332806197883,0.040563949752542156,-0.039671712275593116,-0.026777119744500272,-0.011729360603629358,0.017687803218314663,-0.04144231469552139,-0.0752836753654392,-0.0933495202593105,-0.12435581758324592,-0.038751192127218205
CL_GAL,0.029641171461379404,1.0,-0.15375729761145904,-0.11538447100312915,-0.034047753061770096,-0.018045837071176785,-0.0065124537622306775,0.0062369656544134944,0.08440544199101964,0.06435640859178768,0.10230990028733447,0.07539975570606545,0.06377217263340769,0.09465285916352927,0.09291171291165862,0.03753801793680371,0.0625088883961449,-0.0019184889648443599,-0.08969275780877857,0.0157425763451711,0.00737137273930938,-0.0798519757808418,-0.048363651583393556,0.09179051243138998,0.10828455479732232,0.0235883154798766
E_GAL_VEND,-0.05995372851498654,-0.15375729761145904,1.0,0.6530721128326101,0.37307671745001536,0.04495641182710228,0.07821091942992245,-0.022143959825773763,0.09691029008560051,-0.11198284169767804,-0.17032585218328786,-0.15011980070744235,-0.1433526009330617,0.5974595320033975,0.43638123523337413,0.4696589844762872,0.6852845234771996,0.08238556718501654,0.22564200771521303,-0.052972098245848635,-0.08920660203571126,0.40538628976883234,0.3083794768015383,-0.029118696683801057,-0.06232002298344886,-0.04976514825505914
E_OVOS_VEND,-0.12122399647041725,-0.11538447100312915,0.6530721128326101,1.0,0.43645535439757016,0.08048943398429918,0.09677031992750985,-0.05374759682559316,-0.01792310599278992,-0.10473112843160991,-0.1420550317849836,-0.07687340843365995,-0.1294719768634287,0.4260581066481924,0.47982814866243645,0.5921946390226264,0.5766469525791207,0.11056719960673429,0.21847938154552635,-0.0476062220477126,0.0015692978557658049,0.40309473458928946,0.36641058986805236,0.04752666616323276,0.0618293240037568,0.003863081025236761
E_RECEBE_ORI,-0.04323372808141382,-0.034047753061770096,0.37307671745001536,0.43645535439757016,1.0,0.39286984049578794,0.2130104875337354,0.04548118270764085,0.12674112415558442,-0.11641794567064954,-0.15533765487865295,-0.13626360260619438,-0.1120657635704036,0.4746366081990049,0.24537703396971877,0.3111943123810608,0.41472485611449295,0.3387865081296173,0.5682622443648585,-0.08020797624485862,-0.11592413854019484,0.5425132349578347,0.48408343787290503,0.016724720411629194,-0.014956335345811105,0.022128974063383336
E_ORI_GOV,-0.019419423419689323,-0.018045837071176785,0.04495641182710228,0.08048943398429918,0.39286984049578794,1.0,0.5362620527744569,0.2965149197347804,0.0879438505015092,-0.06573538099069977,-0.15627401487815012,-0.1031155015790969,-0.0059263996347108825,0.1262680259613957,0.07882264894828056,0.10961517487119618,0.13648084529044882,0.3546834390215786,0.4720490552213717,0.16042897867759978,-0.09622368539183408,0.20127595493048636,0.34900775037218795,-0.02336408083192082,-0.04471934529033443,0.036367507469988236
E_ORI_PROPRIA,-0.0662025540012911,-0.0065124537622306775,0.07821091942992245,0.09677031992750985,0.2130104875337354,0.5362620527744569,1.0,0.370252971621089,0.2078669151390203,-0.02811012497190799,-0.0927149221206482,-0.11398758668411782,0.06740142171731485,0.1848610646080254,0.10810633284485016,0.17134150146063332,0.18156838151658866,0.4729788796867239,0.29684146151097807,0.30732438384810695,-0.10349848663293545,0.15226005239938187,0.281511338354949,-0.07594578412092416,-0.04095494413624619,0.15640218339477346
E_ORI_COOP,-0.06102080880600412,0.0062369656544134944,-0.022143959825773763,-0.05374759682559316,0.04548118270764085,0.2965149197347804,0.370252971621089,1.0,0.3728762358368098,0.058202397250253245,0.21739274892316154,-0.008741401923550492,0.30592754921365206,0.1441708532836294,0.09747327647469152,0.13569256852286657,-0.05619039431617865,0.3428425033852101,0.19556416022349524,0.26000574808592525,-0.08175435348129775,0.06968709317843884,0.09580509549139228,-0.011687666513177585,0.0679205455540199,0.21197645412092783
E_ORI_EMP_INT,-0.030011184105172964,0.08440544199101964,0.09691029008560051,-0.01792310599278992,0.12674112415558442,0.0879438505015092,0.2078669151390203,0.3728762358368098,1.0,0.19878593959472057,0.15016407328169692,0.11446984937299157,0.3146753205869149,0.3184345974739311,0.1496043898230328,0.09704732619517457,-0.06382014779286044,0.2008531923004236,0.1324062124110719,0.3852886175321944,-0.060660173370460806,0.07875391549860103,0.12176642160753166,0.05146054980774757,0.1813147684415801,0.2507996623143831
E_ORI_EMP_PRIV,-0.05691856624809988,0.06435640859178768,-0.11198284169767804,-0.10473112843160991,-0.11641794567064954,-0.06573538099069977,-0.02811012497190799,0.058202397250253245,0.19878593959472057,1.0,0.3292359643234746,0.5634826335059656,0.2672501078422317,0.17688455676180567,0.29818157353081265,0.265926179173457,-0.0957139948247923,-0.05654549678756734,-0.07808105863936482,0.14708996484215817,0.11217608340495837,-0.06697618435622447,-0.053106577947701926,0.42082726125024345,0.7175814549726214,0.37482290130353363
E_ORI_ONG,-0.07987468648474635,0.10230990028733447,-0.17032585218328786,-0.1420550317849836,-0.15533765487865295,-0.15627401487815012,-0.0927149221206482,0.21739274892316154,0.15016407328169692,0.3292359643234746,1.0,0.37023298139027844,0.3686499005240575,0.24273431468751558,0.2130415463348041,0.18235687865377537,-0.19319941959148954,-0.07945076088287285,-0.16653909726377583,0.20140875771918743,0.06643990986685232,-0.15574112094183004,-0.17659483073299168,0.1074949897499639,0.36586141203288497,0.26630474144097194
E_ORI_SIST_S,-0.11158475900780233,0.07539975570606545,-0.15011980070744235,-0.07687340843365995,-0.13626360260619438,-0.1031155015790969,-0.11398758668411782,-0.008741401923550492,0.11446984937299157,0.5634826335059656,0.37023298139027844,1.0,0.13335220426665445,0.25579585416100353,0.36424821607822827,0.3230567110124749,-0.15977599983480406,-0.04044864121786222,-0.10734859109455931,0.08755039006629523,0.3707430918225212,-0.05986866241112187,-0.11689989632028358,0.3078897400179418,0.7088620095744301,0.3639269610384464
E_ORI_OUTRA,0.07645389972528388,0.06377217263340769,-0.1433526009330617,-0.1294719768634287,-0.1120657635704036,-0.0059263996347108825,0.06740142171731485,0.30592754921365206,0.3146753205869149,0.2672501078422317,0.3686499005240575,0.13335220426665445,1.0,0.12281661473822106,0.11915784078592405,0.19769346329967402,-0.13563554089873892,0.12153571007532729,-0.06139156244670749,0.43221968445389775,0.14013191756721913,-0.11162683300597025,-0.10109858532350538,0.0364780155244805,0.10001947363493581,0.2743681899703817
E_GAL_ENG,-0.13101208162382327,0.09465285916352927,0.5974595320033975,0.4260581066481924,0.4746366081990049,0.1262680259613957,0.1848610646080254,0.1441708532836294,0.3184345974739311,0.17688455676180567,0.24273431468751558,0.25579585416100353,0.12281661473822106,1.0,0.7439807800358885,0.6547876213608996,0.6508740532216433,0.24514372678091662,0.33128577127742087,0.013793913717555818,0.07862211021532725,0.3163723866760894,0.2853699131503236,0.061623772503290916,0.21625255163701265,0.21532739694094966
E_GAL_GALOS,-0.11957876302448443,0.09291171291165862,0.43638123523337413,0.47982814866243645,0.24537703396971877,0.07882264894828056,0.10810633284485016,0.09747327647469152,0.1496043898230328,0.29818157353081265,0.2130415463348041,0.36424821607822827,0.11915784078592405,0.7439807800358885,1.0,0.7962449304263792,0.7781763320339278,0.12140709749772478,0.13594880644959473,0.09753898666046622,0.15922644465738606,0.21620657487555925,0.2190930093040619,0.20482588103079852,0.30308719221363045,0.2011381270248274
E_GAL_POED,-0.1002332806197883,0.03753801793680371,0.4696589844762872,0.5921946390226264,0.3111943123810608,0.10961517487119618,0.17134150146063332,0.13569256852286657,0.09704732619517457,0.265926179173457,0.18235687865377537,0.3230567110124749,0.19769346329967402,0.6547876213608996,0.7962449304263792,1.0,0.6475859394221102,0.16610005052953794,0.17061534262887532,0.02674488369966884,0.07064303676201018,0.23828876487235348,0.25726697324713266,0.11279460291478481,0.22783720059009252,0.17885311915615146
E_GAL_MATR,0.040563949752542156,0.0625088883961449,0.6852845234771996,0.5766469525791207,0.41472485611449295,0.13648084529044882,0.18156838151658866,-0.05619039431617865,-0.06382014779286044,-0.0957139948247923,-0.19319941959148954,-0.15977599983480406,-0.13563554089873892,0.6508740532216433,0.7781763320339278,0.6475859394221102,1.0,0.07925834590968182,0.27092597857778355,-0.08233610926256732,-0.11677570333341823,0.328912279506492,0.4012504146178807,-0.013533895054838622,-0.0710013115502881,-0.0690339780454044
E_ASSOC_COOP,-0.039671712275593116,-0.0019184889648443599,0.08238556718501654,0.11056719960673429,0.3387865081296173,0.3546834390215786,0.4729788796867239,0.3428425033852101,0.2008531923004236,-0.05654549678756734,-0.07945076088287285,-0.04044864121786222,0.12153571007532729,0.24514372678091662,0.12140709749772478,0.16610005052953794,0.07925834590968182,1.0,0.41594732424406156,0.12030978026190166,-0.10718182495232964,0.2658769056289259,0.2726735602243532,-0.006061905175942816,-0.011343569843993026,0.11879444427914083
E_FINANC,-0.026777119744500272,-0.08969275780877857,0.22564200771521303,0.21847938154552635,0.5682622443648585,0.4720490552213717,0.29684146151097807,0.19556416022349524,0.1324062124110719,-0.07808105863936482,-0.16653909726377583,-0.10734859109455931,-0.06139156244670749,0.33128577127742087,0.13594880644959473,0.17061534262887532,0.27092597857778355,0.41594732424406156,1.0,0.00767822532251983,-0.09767523864245546,0.4852797543230575,0.5335572505006538,0.023192166801281094,-0.025520293288338602,0.03933299508510077
E_FINANC_COOP,-0.011729360603629358,0.0157425763451711,-0.052972098245848635,-0.0476062220477126,-0.08020797624485862,0.16042897867759978,0.30732438384810695,0.26000574808592525,0.3852886175321944,0.14708996484215817,0.20140875771918743,0.08755039006629523,0.43221968445389775,0.013793913717555818,0.09753898666046622,0.02674488369966884,-0.08233610926256732,0.12030978026190166,0.00767822532251983,1.0,-0.04917768641730051,-0.05017434647186324,0.10682524764754274,0.019273760892938745,0.034751856215089756,0.18293453090364015
E_FINANC_INTEG,0.017687803218314663,0.00737137273930938,-0.08920660203571126,0.0015692978557658049,-0.11592413854019484,-0.09622368539183408,-0.10349848663293545,-0.08175435348129775,-0.060660173370460806,0.11217608340495837,0.06643990986685232,0.3707430918225212,0.14013191756721913,0.07862211021532725,0.15922644465738606,0.07064303676201018,-0.11677570333341823,-0.10718182495232964,-0.09767523864245546,-0.04917768641730051,1.0,-0.07270370731736815,-0.08575048670322598,0.07056454060112555,0.18617151559393824,0.2413502237414655
E_DAP,-0.04144231469552139,-0.0798519757808418,0.40538628976883234,0.40309473458928946,0.5425132349578347,0.20127595493048636,0.15226005239938187,0.06968709317843884,0.07875391549860103,-0.06697618435622447,-0.15574112094183004,-0.05986866241112187,-0.11162683300597025,0.3163723866760894,0.21620657487555925,0.23828876487235348,0.328912279506492,0.2658769056289259,0.4852797543230575,-0.05017434647186324,-0.07270370731736815,1.0,0.5348760732758968,0.16804501939394603,-0.009597096846241361,0.03817182903242282
E_N_AGRIFAM,-0.0752836753654392,-0.048363651583393556,0.3083794768015383,0.36641058986805236,0.48408343787290503,0.34900775037218795,0.281511338354949,0.09580509549139228,0.12176642160753166,-0.053106577947701926,-0.17659483073299168,-0.11689989632028358,-0.10109858532350538,0.2853699131503236,0.2190930093040619,0.25726697324713266,0.4012504146178807,0.2726735602243532,0.5335572505006538,0.10682524764754274,-0.08575048670322598,0.5348760732758968,1.0,0.056209175703054545,-0.0016502264888406087,0.06487983245690866
E_COOPERATIVA,-0.0933495202593105,0.09179051243138998,-0.029118696683801057,0.04752666616323276,0.016724720411629194,-0.02336408083192082,-0.07594578412092416,-0.011687666513177585,0.05146054980774757,0.42082726125024345,0.1074949897499639,0.3078897400179418,0.0364780155244805,0.061623772503290916,0.20482588103079852,0.11279460291478481,-0.013533895054838622,-0.006061905175942816,0.023192166801281094,0.019273760892938745,0.07056454060112555,0.16804501939394603,0.056209175703054545,1.0,0.50279348749443,0.16542548983230948
E_SA_LDTA,-0.12435581758324592,0.10828455479732232,-0.06232002298344886,0.0618293240037568,-0.014956335345811105,-0.04471934529033443,-0.04095494413624619,0.0679205455540199,0.1813147684415801,0.7175814549726214,0.36586141203288497,0.7088620095744301,0.10001947363493581,0.21625255163701265,0.30308719221363045,0.22783720059009252,-0.0710013115502881,-0.011343569843993026,-0.025520293288338602,0.034751856215089756,0.18617151559393824,-0.009597096846241361,-0.0016502264888406087,0.50279348749443,1.0,0.385750585011302
E_CNPJ,-0.038751192127218205,0.0235883154798766,-0.04976514825505914,0.003863081025236761,0.022128974063383336,0.036367507469988236,0.15640218339477346,0.21197645412092783,0.2507996623143831,0.37482290130353363,0.26630474144097194,0.3639269610384464,0.2743681899703817,0.21532739694094966,0.2011381270248274,0.17885311915615146,-0.0690339780454044,0.11879444427914083,0.03933299508510077,0.18293453090364015,0.2413502237414655,0.03817182903242282,0.06487983245690866,0.16542548983230948,0.385750585011302,1.0
